facility_code,facility_name,priority,official_subpage_url,address,court_count,surface_type,lighting_available,operating_hours_summer,operating_hours_winter,closed_days,parking,changing_shower,fee_basic,fee_lighting,fee_nonresident,phone_number,latitude,longitude,booking_method,registration_required,nonresident_policy,same_day_booking,notes,status,verified_at
NAG-TEN-020,長野市営犀川第一運動場テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003016.html,長野市大字安茂里1605-2地先,2,,,,,,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,テニス2面。河川敷。同敷地内に他多目的施設多数,済,2026-05-23
NAG-TEN-021,長野市営犀川第二運動場テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003026.html,長野市青木島町青木島乙954-2,2,,,日の出〜日没,日の出〜日没,冬期(12-3月)予約受付なし,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,テニス2面。河川敷。長野市最大級多目的運動場,済,2026-05-23
NAG-TEN-022,長野市営犀川南運動場テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003025.html,長野市丹波島3-1052,3,,,日の出〜日没,日の出〜日没,冬期(12-3月)予約受付なし,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,テニス3面。河川敷,済,2026-05-23
NAG-TEN-023,長野市営西寺尾運動場テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003023.html,長野市松代町東寺尾1276,3,,,日の出〜日没,日の出〜日没,冬期(12-3月)予約受付なし,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,テニス3面。河川敷。同敷地に野球場2面,済,2026-05-23
NAG-TEN-024,長野市営七二会運動場テニスコート,C,https://www.city.nagano.nagano.jp/n155400/contents/p003029.html,長野市七二会己989-ナ,1,,,日の出〜日没,日の出〜日没,,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,テニス1面,済,2026-05-23
NAG-SOC-001,南長野運動公園球技場(長野Uスタジアム),A,https://www.city.nagano.nagano.jp/n155400/contents/p003010.html,長野市篠ノ井東福寺320,5,要確認,要確認,,,,あり(874台),要確認,要PDF確認,要PDF確認,要PDF確認,026-293-4818,,,複合,要確認,要確認,要確認,長野Uスタジアム=AC長野パルセイロのホーム。FIFA基準準拠。フットボール場A〜E計5面。詳細PDF: /documents/3172/football.pdf,済,2026-05-23
NAG-SOC-002,長野運動公園総合運動場(球技場),A,https://www.city.nagano.nagano.jp/n155400/contents/p003009.html,長野市吉田5-1-19,,,,,,,,,要PDF確認,要PDF確認,要PDF確認,026-241-4200,,,複合,要確認,,,長野運動公園内。サッカー面数とサーフェスは公式情報未公開・電話確認推奨,半済,2026-05-23
NAG-SOC-003,北部スポーツ・レクリエーションパーク屋内運動場,A,https://www.city.nagano.nagano.jp/n155400/contents/p003100.html,長野市大字三才1981-1,テニス4/フットサル2,砂入り人工芝,TRUE,通年 8:30-21:00,通年 8:30-21:00,,要確認,要確認,個人2h:1220円〜,810円/h(全面),要確認,026-266-0582,,,複合,要確認,要確認,要確認,屋内多目的施設。テニス4面/フットサル2面/ゲートボール6面。県内希少な屋内テニス施設,済,2026-05-23
NAG-SOC-005,飯綱高原南グラウンド,C,https://www.city.nagano.nagano.jp/n150800/contents/p003109.html,長野市大字上ケ屋2471-84,大人1面/少年2面分,,,8:00-17:00,8:00-17:00,,あり,要確認,午前16900円/午後20000円/全日33900円,(料金に含む),要確認,090-3143-2084,,,複合,要確認,可,要確認,飯綱高原観光協会管理。標高1000m超の高地。Jリーグ・いわきFCキャンプ実績,済,2026-05-23
NAG-SOC-006,犀川第一運動場(フットボール場),C,https://www.city.nagano.nagano.jp/n155400/contents/p003016.html,長野市大字安茂里1605-2地先,1,,,日の出〜日没,日の出〜日没,,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,フットボール場1面。河川敷。TEN-020と同敷地,済,2026-05-23
NAG-SOC-007,犀川第二運動場(フットボール場),C,https://www.city.nagano.nagano.jp/n155400/contents/p003026.html,長野市青木島町青木島乙954-2,3,,,日の出〜日没,日の出〜日没,冬期(12-3月)予約受付なし,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,フットボール場3面。河川敷。TEN-021と同敷地,済,2026-05-23
NAG-SOC-008,犀川南運動場,C,https://www.city.nagano.nagano.jp/n155400/contents/p003025.html,長野市丹波島3-1052,,,,日の出〜日没,日の出〜日没,冬期(12-3月)予約受付なし,,,無料,,(無料),026-224-5083,,,予約不要,不要,要確認,可,TEN-022と同敷地。サッカー面数は公式ページに明記なし,済,2026-05-23
